policyID,statecode2,county2,eq_site_limit2,hu_site_limit2,fl_site_limit2,fr_site_limit2,tiv_2011_2,tiv_2012_2
119736,FL,CLAY COUNTY,498960,498960,498960,498960,498960,792148.9
448094,FL,CLAY COUNTY,1322376.3,1322376.3,1322376.3,1322376.3,1322376.3,1438163.57
206893,FL,CLAY COUNTY,190724.4,190724.4,190724.4,190724.4,190724.4,192476.78
333743,FL,CLAY COUNTY,0,79520.76,0,0,79520.76,86854.48
172534,FL,CLAY COUNTY,0,254281.5,0,254281.5,254281.5,246144.49
785275,FL,CLAY COUNTY,0,515035.62,0,0,515035.62,884419.17
995932,FL,CLAY COUNTY,0,19260000,0,0,19260000,20610000
223488,FL,CLAY COUNTY,328500,328500,328500,328500,328500,348374.25
433512,FL,CLAY COUNTY,315000,315000,315000,315000,315000,265821.57
142071,FL,CLAY COUNTY,705600,705600,705600,705600,705600,1010842.56
253816,FL,CLAY COUNTY,831498.3,831498.3,831498.3,831498.3,831498.3,1117791.48
894922,FL,CLAY COUNTY,0,24059.09,0,0,24059.09,33952.19
422834,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,66755.39
582721,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,42826.99
842700,FL,CLAY COUNTY,0,56135.64,0,0,56135.64,50656.8
874333,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,67905.07
580146,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,66938.9
456149,FL,CLAY COUNTY,0,80192.49,0,0,80192.49,86421.04
767862,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,73798.5
353022,FL,CLAY COUNTY,0,60946.79,0,0,60946.79,62467.29
367814,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,42727.74
671392,FL,CLAY COUNTY,0,13410000,0,0,13410000,11700000
772887,FL,CLAY COUNTY,0,1669113.93,0,0,1669113.93,2099127.76
983122,FL,CLAY COUNTY,0,179562.23,0,0,179562.23,211372.57
934215,FL,CLAY COUNTY,0,177744.16,0,0,177744.16,157171.16
385951,FL,CLAY COUNTY,0,17757.58,0,0,17757.58,16948.72
716332,FL,CLAY COUNTY,0,130129.87,0,0,130129.87,101758.43
751262,FL,CLAY COUNTY,0,42854.77,0,0,42854.77,63592.88
633663,FL,CLAY COUNTY,0,785.58,0,0,785.58,662.18
105851,FL,CLAY COUNTY,0,170361.91,0,0,170361.91,177176.38
710400,FL,CLAY COUNTY,0,1430.89,0,0,1430.89,1861.41
703001,FL,CLAY COUNTY,0,129913.27,0,0,129913.27,101692.86
352792,FL,CLAY COUNTY,0,366285.62,0,0,366285.62,507164.19
717603,FL,CLAY COUNTY,0,22512.61,0,0,22512.61,28637.17
937659,FL,SUWANNEE COUNTY,0,9246.6,0,9246.6,9246.6,10880.22
294022,FL,SUWANNEE COUNTY,0,96164.64,0,0,96164.64,69357.78
410500,FL,SUWANNEE COUNTY,0,11095.92,0,0,11095.92,12737.89
524433,FL,SUWANNEE COUNTY,218475,218475,218475,218475,218475,199030.29
779298,FL,SUWANNEE COUNTY,1400904,1400904,1400904,1400904,1400904,1772984.1
491831,FL,SUWANNEE COUNTY,4365,4365,4365,4365,4365,4438.05
814637,FL,SUWANNEE COUNTY,4365,4365,4365,4365,4365,6095.72
737515,FL,SUWANNEE COUNTY,39789,39789,39789,39789,39789,58106.58
222653,FL,SUWANNEE COUNTY,24867,24867,24867,24867,24867,18969.79
788543,FL,SUWANNEE COUNTY,213876,213876,213876,213876,213876,261435.18
691681,FL,SUWANNEE COUNTY,69435,69435,69435,69435,69435,93674.34
368807,FL,SUWANNEE COUNTY,14922,14922,14922,14922,14922,12333.03
174002,FL,SUWANNEE COUNTY,165546,165546,165546,165546,165546,239134.51
198760,FL,SUWANNEE COUNTY,72837,72837,72837,72837,72837,86637.86
831395,FL,SUWANNEE COUNTY,72837,72837,72837,72837,72837,98147.86
305698,FL,SUWANNEE COUNTY,19440,19440,19440,19440,19440,30658.59
515722,FL,SUWANNEE COUNTY,9945,9945,9945,9945,9945,11551.12
415582,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,345894.66
783533,FL,SUWANNEE COUNTY,0,153527.17,0,0,153527.17,138228.8
640802,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,177339.74
403866,FL,SUWANNEE COUNTY,0,102351.45,0,0,102351.45,95132.8
828788,FL,SUWANNEE COUNTY,0,155489.66,0,0,155489.66,145139.65
751490,FL,SUWANNEE COUNTY,0,137233.8,0,0,137233.8,114919.58
972562,FL,SUWANNEE COUNTY,0,123596.05,0,0,123596.05,183015.09
367541,FL,SUWANNEE COUNTY,0,107111.11,0,0,107111.11,88218.85
481360,FL,SUWANNEE COUNTY,0,96309.32,0,0,96309.32,85911
920232,FL,NASSAU COUNTY,0,104031.7,0,0,104031.7,168443.97
727659,FL,NASSAU COUNTY,338944.5,338944.5,338944.5,338944.5,338944.5,485816.61
471817,FL,NASSAU COUNTY,272349,272349,272349,272349,272349,414565.56
983043,FL,NASSAU COUNTY,129690,129690,129690,129690,129690,129635.53
578286,FL,NASSAU COUNTY,123210,123210,123210,123210,123210,120345.61
347276,FL,NASSAU COUNTY,0,3698.64,0,0,3698.64,3939.13
